Date,Amount,Category,Notes
14 Feb 2025 ,250000,✍🏼 Event,Rapat Sosialisasi
1 Mar 2025 ,3720000,💰 Salary,Salary
7 Mar 2025 ,995400,💰 Salary,Remun P1
12 Mar 2025,562400,💰 Salary,Uang Makan
15 Mar 2025 ,5098800,💰 Salary,Dewas Jan-Mar
18 Mar 2025 ,4000000,🎁 Gift,THR ASN
20 Mar 2025 ,2500000,🎁 Gift,THR Dirjen
21 Mar 2025 ,4313400,🎁 Gift,THR Pengelol
1 Apr 2025 ,3720000,💰 Salary,Bulanan
7 Apr 2025 ,995400,💰 Salary,Remun P.1
14 Apr 2025 ,2549400,💰 Salary,Remu
17 Apr 2025 ,667850,💰 Salary,Uang Makan
20 Apr 2025 ,995400,💰 Salary,Remun P1.2
20 Mar 2025 ,2316600,💰 Salary,HR Dosen LB
20 Apr 2025 ,1737450,💰 Salary,HR Dosen LB
20 Apr 2025 ,525000,🎲 Others,Transport Guru
1 May 2025 ,3737200,💰 Salary,Gaji Pokok Mei
2 May 2025 ,2549400,💰 Salary,Remun
5 May 2025 ,995400,💰 Salary,Remun P1.1
5 May 2025 ,562400,💰 Salary,Uang makan
20 May 2025 ,995400,💰 Salary,Remun P1.2
2 Jun 2025 ,1737450,💰 Salary,Honorarium Guru
2 Jun 2025 ,8000000,💼 Business,Project Development Payment
1 Jun 2025 ,3737200,💰 Salary,Gaji bulanan
2 Jun 2025 ,4052300,🎲 Others,Gaji ke 13
2 Jun 2025 ,2549400,🎲 Others,Remun 13
2 Jun 2025 ,2549400,💰 Salary,Remun
4 Jun 2025 ,3318000,🎲 Others,Remun 1
5 Jun 2025 ,995400,💰 Salary,Remun P1.1
4 Jun 2025 ,2100000,✍🏼 Event,HR Asesor
13 Jun 2025 ,597000,🎁 Gift,Uang Makan
20 Jun 2025 ,518500,💰 Salary,Uang Transpor
20 Jun 2025 ,2310100,💰 Salary,Honorarium
30 Jun 2025 ,13000000,💼 Business,Salary Project Bogor
23 Jun 2025 ,995400,💰 Salary,Remun P1.2
1 Jul 2025 ,4058900,💰 Salary,Gaji Bulan Juli
2 Jul 2025 ,2549400,💰 Salary,Remu
5 Jul 2025 ,995400,💰 Salary,Remun P1.1
11 Jul 2025 ,527250,🎁 Gift,Uang Makan
17 Jul 2025 ,359125,💰 Salary,Transpor
26 Jul 2025 ,50000,🎁 Gift,Voucher Tokopedi
30 Jul 2025 ,8902174,💰 Salary,Engineering Project
1 Aug 2025 ,4058900,💰 Salary,Gaji Pokok
1 Aug 2025 ,2549400,💰 Salary,Remu
5 Aug 2025 ,3800000,💼 Business,Project Mentoring
2025-08-31,4058900,💰 Salary,Gaji September
2025-09-01,2549400,💰 Salary,Remun September
2025-09-02,12993952,🎲 Others,Remun Semester I
2025-09-04,1116360,💰 Salary,Remun P1.1
2025-08-30,14625000,💰 Salary,Gaji Pokok
